sport,stijl,n,accuratesse,accuratesse_soepel,drift_vs_2576,label_eensgezind,label_vs_2576,polycount_vs_2576,herhaal_overlap,confidence,confidence_spreiding,kalibratiekloof,prompt_tokens,beeld_tokens,latency_ms
2576,alle,45,0.5333333333333333,0.5333333333333333,0.5276284516000493,1.0,1.0,1.0,0.5276284516000493,0.855111111111111,0.0060282894284702186,0.3217777777777777,30661,4805,6675.022222222222
1568,alle,45,0.4666666666666667,0.4666666666666667,0.39968949174412,1.0,0.8666666666666667,0.9333333333333333,0.45934311691625374,0.8486666666666667,0.004399775527382963,0.382,28991,3135,5969.844444444445
1092,alle,45,0.4888888888888889,0.4888888888888889,0.4317518000698405,0.9333333333333333,0.8888888888888888,0.9111111111111111,0.5153755103780904,0.84,0.005521015693886435,0.3511111111111111,27376,1520,5908.644444444444
768,alle,45,0.4666666666666667,0.4666666666666667,0.3794170553926989,0.9333333333333333,0.8222222222222222,0.9333333333333333,0.5732742037770754,0.8464444444444444,0.01057383951563109,0.37977777777777777,26639,783,5606.355555555556
512,alle,45,0.5333333333333333,0.5333333333333333,0.3443178675628335,1.0,0.8666666666666667,0.9333333333333333,0.5544982106721013,0.8244444444444444,0.005342584568965024,0.2911111111111111,26216,360,5658.111111111111
384,alle,45,0.5333333333333333,0.5333333333333333,0.3100333325831989,1.0,0.8,0.8666666666666667,0.507439803058998,0.8182222222222222,0.0037712361663282566,0.28488888888888886,26051,195,5785.133333333333
256,alle,45,0.4666666666666667,0.4666666666666667,0.2694280165782611,1.0,0.8,0.8444444444444444,0.42423063185649,0.8079999999999999,0.01140531893491419,0.34133333333333327,25955,99,5749.311111111111
192,alle,45,0.4666666666666667,0.4666666666666667,0.2343458413637666,1.0,0.8,0.7777777777777778,0.461206809663982,0.7568888888888888,0.003142696805273544,0.29022222222222216,25904,48,5782.955555555555
2576,low-poly flat-shaded,15,1.0,1.0,0.48821700457452244,1.0,1.0,1.0,0.48821700457452244,0.9333333333333333,0.004208795365292972,-0.06666666666666665,30661,4805,6439.533333333334
1568,low-poly flat-shaded,15,1.0,1.0,0.3777348654670636,1.0,1.0,1.0,0.4916514041514042,0.9313333333333333,0.0018856180831641283,-0.06866666666666665,28991,3135,5942.333333333333
1092,low-poly flat-shaded,15,1.0,1.0,0.4659565047000548,1.0,1.0,1.0,0.5354940865234983,0.9359999999999999,0.0,-0.06400000000000006,27376,1520,5668.6
768,low-poly flat-shaded,15,1.0,1.0,0.383689933217797,1.0,1.0,1.0,0.6152271802271803,0.928,0.0028284271247461927,-0.07199999999999995,26639,783,5598.666666666667
512,low-poly flat-shaded,15,1.0,1.0,0.3823530714784585,1.0,1.0,1.0,0.5325485539572227,0.91,0.003771236166328246,-0.08999999999999997,26216,360,5496.133333333333
384,low-poly flat-shaded,15,1.0,1.0,0.345093327820366,1.0,1.0,1.0,0.46095136345136345,0.9193333333333333,0.0018856180831641283,-0.08066666666666666,26051,195,5637.266666666666
256,low-poly flat-shaded,15,1.0,1.0,0.33401106671488506,1.0,1.0,0.8,0.4569966961143432,0.886,0.005656854249492385,-0.11399999999999999,25955,99,5522.933333333333
192,low-poly flat-shaded,15,1.0,1.0,0.291937094648653,1.0,1.0,0.8666666666666667,0.3888716984769616,0.824,0.0,-0.17600000000000005,25904,48,5621.6
2576,painterly-texture,15,0.4,0.4,0.5798454804569355,1.0,1.0,1.0,0.5798454804569355,0.75,0.009162027712207364,0.35,30661,4805,6788.133333333333
1568,painterly-texture,15,0.2,0.2,0.4415091390481528,1.0,0.6,0.8,0.4306930644573665,0.738,0.0047140452079103105,0.538,28991,3135,6130.733333333334
1092,painterly-texture,15,0.26666666666666666,0.26666666666666666,0.4557939554251305,0.8,0.6666666666666666,0.7333333333333333,0.5185819122970826,0.706,0.010370899457402697,0.4393333333333333,27376,1520,5999.533333333334
768,painterly-texture,15,0.2,0.2,0.400036164278099,0.8,0.4666666666666667,0.8,0.5722062883124264,0.7513333333333333,0.01979898987322333,0.5513333333333332,26639,783,5576.466666666666
512,painterly-texture,15,0.2,0.2,0.36470736095435097,1.0,0.8,1.0,0.5495849099873867,0.7386666666666667,0.009428090415820631,0.5386666666666666,26216,360,5758.933333333333
384,painterly-texture,15,0.2,0.2,0.33423962818774183,1.0,0.6,0.8,0.5418519337559585,0.7006666666666667,0.0009428090415820641,0.5006666666666666,26051,195,5849.4
256,painterly-texture,15,0.0,0.0,0.26613417913754434,1.0,0.6,0.8,0.3976405038926913,0.728,0.01131370849898477,0.728,25955,99,5567.733333333334
192,painterly-texture,15,0.0,0.0,0.2621884141958625,1.0,0.6,0.5333333333333333,0.5321274193642614,0.6799999999999999,0.0,0.6799999999999999,25904,48,5647.733333333334
2576,stylised PBR,15,0.2,0.2,0.5148228697686902,1.0,1.0,1.0,0.5148228697686902,0.882,0.004714045207910321,0.6819999999999999,30661,4805,6797.4
1568,stylised PBR,15,0.2,0.2,0.3798244707171436,1.0,1.0,1.0,0.4556848821399905,0.8766666666666667,0.00659966329107445,0.6766666666666667,28991,3135,5836.466666666666
1092,stylised PBR,15,0.2,0.2,0.37350494008433616,1.0,1.0,1.0,0.4920505323136902,0.878,0.006192147624256609,0.6779999999999999,27376,1520,6057.8
768,stylised PBR,15,0.2,0.2,0.35452506868220063,1.0,1.0,1.0,0.5323891427916196,0.86,0.009094101548923745,0.6599999999999999,26639,783,5643.933333333333
512,stylised PBR,15,0.4,0.4,0.285893170255691,1.0,0.8,0.8,0.5813611680716944,0.8246666666666667,0.0028284271247461927,0.42466666666666664,26216,360,5719.266666666666
384,stylised PBR,15,0.4,0.4,0.2507670417414887,1.0,0.8,0.8,0.5195161119696723,0.8346666666666667,0.008485281374238578,0.43466666666666665,26051,195,5868.733333333334
